"filename","content"
"2401.07294v4.pdf","Finally, we test how sensitive our results are to heteroskedasticity caused by the different sample sizes of the simulation conditions, as described in Section 1. In our supplement, we refit the models in Table 4 applying √ n weights to account for heteroskedasticity by more heavily weighting the results from larger n conditions, and we see essentially no difference in the results, suggesting that our main findings are not sensitive to heteroskedasticity. Alternative methods for addressing heteroskedasticity include the application of heteroskedasticity robust standard errors using the sandwich package (Zeileis et al., 2020), the robustlmm R package

The figure shows point estimates and 95% empirical Bayes ranges for the effects of estimator on statistical power compared to an unadjusted model without covariates under each simulation condition. The estimates are derived from a three-level random slopes MLMM.

for robust MLMs (Koller, 2016), or a fully Bayesian approach with the brms R package (B¨ urkner, 2017), though the latter two methods require substantially greater computational power, taking hours or minutes rather than seconds to fit standard metamodels (Gilbert, 2024b, p. 5065)."
"2401.07294v4.pdf","Models 3 and 4 present the results for the aggregated data. We see that the point estimates are identical to Model 2, and the SEs are quite similar, as we would expect due to the perfectly balanced design. However, the models of the aggregated results provide no analog of the random slope variances, and as such do not reveal how consistent the effects are across conditions, an important limitation when making recommendations for practice.

3.2 Validity (Type I Error)

We again begin with a descriptive graph to motivate the metamodels of false positive rates. Figure 4 shows the distribution of false positive rates across a range of conditions. In contrast to Figure 1, the results here are much more consistent. The false positive rates show a narrower range, and the unadjusted model without covariates has false positive rates that are too conservative when there are large interaction effects. Again, while useful as an exploratory starting point, determining the size, consistency, and statistical significance of the differences observed in the figure necessitates a metamodeling approach that accounts for imprecision and overdispersion in the descriptive results."
"2401.07294v4.pdf","Accordingly, we replicate our metamodeling approach to power analysis for false positive rates, analyzing only the data sets in which the true treatment effect is 0. The results are shown visually in Figure 5 and serve as an illustrative contrast to the power results. Tabulations of the metamodel results are included in our supplement. We see that across the various conditions, the effects of covariate adjustment are more consistent as the mean effects vary within only a few percentage points of 0 and the 95% empirical Bayes intervals extend only a few percentage points in either direction.

The figure shows the distribution of false positive rates by condition. Unadjusted represents a model with the treatment indicator only, Adjusted includes the covariate as a main effect, and Interacted includes the covariate as an interaction effect. b3 represents the interaction between treatment and covariate and b2 represents the correlation between covariate and outcome in the control group. Each box shows results averaged over the sample sizes."
"2401.07294v4.pdf","The figure shows point estimates and 95% empirical Bayes ranges for the effects of estimator on the false positive rate compared to an unadjusted model without covariates under each simulation condition. The estimates are derived from a three-level random slopes MLMM.

3.3 Squared Error

We conclude with an analysis of the squared error to illustrate two additional affordances to the MLMM approach. First, even some model metrics that traditionally require aggregation can be analyzed in the three-level MLMM approach. Second, the MLMM is easily extended to non-linear contexts.

For example, consider the Root Mean Squared Error (RMSE), which combines the effects of bias and variance into a single metric, where r indexes the simulation replication and R is the total number of simulation replications:

RMSE = √ √ √ √ 1 R R ∑ r =1 ( ˆ β ( r ) 1 -β 1 ) 2 (15)

The RMSE is traditionally analyzed in an aggregation framework because taking the mean requires averaging across a range of conditions. However, we can model the squared error directly in an MLMM approach, for example, by extending Equation 6 to include a square root link function:"
"2401.07294v4.pdf","√ E ( Y ijk ) = β 0 jk + β 10 k adjusted ijk + β 20 k interacted ijk , (16)

where Y ijk is the squared error for simulation result i in data set j from simulation condition k .

Figure 6 displays the results (the full table is included in the supplement, with the coefficients transformed so they are interpretable on the RMSE scale). We see that there the average effects are negative across all conditions. However, there is wide dispersion. In some cases, the 95% empirical Bayes range includes 0, suggesting that covariate adjustment is not guaranteed to reduce RMSE when, for example, correlations are weak and sample

The figure shows point estimates and 95% empirical Bayes ranges for the effects of estimator on the RMSE compared to an unadjusted model without covariates under each simulation condition. The estimates are derived from a three-level random slopes MLMM."
"2401.07294v4.pdf","sizes are small. In contrast, when the correlation reaches 0.5 or 0.7, covariate adjustment is essentially guaranteed to reduce RMSE. Results are similarly consistent at larger sample sizes. Furthermore, as shown in our supplement, the estimated bias is 0 across all conditions, so these results can equivalently be interpreted as a metamodel for the true SE of each estimator, because the MSE is the sum of the squared bias and the squared SE.

3.4 Bias, Coverage, True Standard Error, Estimated Standard Error, and Standard Error Calibration

Analogous metamodels in our supplement show that average bias is essentially zero across all models and simulation conditions, coverage is within a few percentage points of the nominal 95% level, and the pattern of results observed for the relationship between the simulation conditions and the estimated standard errors and true standard errors are very similar to

those of the model for the squared errors discussed earlier. Metamodels for standard error calibration show that estimated standard errors are within about 10 percentage points of the true standard errors."
"2401.07294v4.pdf","3.5 Summary and Review

The worked examples above demonstrate how to fit and interpret the MLMM for various simulation performance metrics. The step-by-step model-building strategy outlined thus far is intended to be pedagogical by providing a side-by-side comparison of cluster-robust OLS and random intercept models of aggregated results, and random slopes models of individual results. In practice, however, the analyst would likely choose a single approach to apply to all metrics rather than compare various metamodels. We argue that the three-level random slopes MLMM with two-way interactions between the focal variable and the simulation conditions is likely to be a reasonable starting point in many applications."
"2401.07294v4.pdf","To demonstrate how an analyst might use the MLMM in practice to summarize a broad range of simulation results in practice, Figure 7 shows the conjoint plots for the average effect of covariate adjustment on bias, coverage, false positives, power, RMSE, and the true SE. The results are derived from a three-level random slopes MLMM with all two-way interactions between estimator and the simulation conditions. The full regression output is included in our supplement. As in the previous conjoint plots, the points show the average effect and the thin horizontal line shows the 95% empirical Bayes range.

Figure 7 concisely demonstrates the affordances of the random slopes MLMM as a tool for the simulation practitioner. Namely, in contrast to visualizations that are compared by eye or with descriptive statistics, the MLMM provides direct tests on the effects of the estimator on each metric in the form of differences with a baseline model. Furthermore, the random slope model allows us to calculate a 95% empirical Bayes range to provide an estimate of generalizability not captured by the average effect across the tested conditions conditions"
"2401.07294v4.pdf","The figure shows point estimates and 95% empirical Bayes ranges for the effects of estimator on various performance metrics compared to an unadjusted model without covariates under each simulation condition. The estimates are derived from a three-level random slopes MLMM.

that are not inflated by the overdispersion of descriptive statistics and are not estimable in two-level MLMMs of aggregated results or OLS models.

How might an analyst write up the results of this simulation based on Figure 7? We interpret the results as follows. First, we see that bias is generally small across simulation conditions: we have no evidence the average bias is not zero, and the empirical Bayes estimates extend only very narrowly in either direction. Thus, in line with statistical theory underlying randomized trials and causal inference (Lin, 2013), covariate adjustment does not affect bias across a range of conditions. Covariate adjustment has a similarly minor effect on coverage and false positive rates, as almost all of the 95% CIs include the mean value of the unadjusted model and the 95% empirical Bayes ranges are relatively narrow, in the range of a few percentage points around the nominal values."
"2401.07294v4.pdf","In contrast, covariate adjustment generally improves power, but benefits are strongest when the correlation between the covariate and the outcome is strong. The effects of covariate adjustment on power do not strongly depend on sample size, the proportion of units treated, or the size of the ATE. Importantly, the 95% empirical Bayes ranges are wide, suggesting that even when correlations are strong, the effects of covariate adjustment can vary widely. For example, when sample sizes are small and the proportion of treated units is 90%, covariate adjustment occasionally decreased power by a few percentage points.

Similarly, the RMSE and true SE show significant reductions from covariate adjustment when correlations between the covariate and the outcome are strong, and they do not increase on average in any condition. Because average bias is 0, these two figures are indistinguishable. When the correlation reaches 0.7, the 95% empirical Bayes range does not include 0, suggesting that gains to precision are essentially guaranteed at this level of correlation in any individual case, an important interpretational nuance that would be masked if only examining the average effect."
